claim_id,level,command,archived_inputs,external_inputs,expected_output,acceptance,status
PACKAGE-VERIFY,result verification,python verify_release.py,manifest; ACE archive; MXC archive; operational fixtures,,integrity and embedded verification report,manifest exact and all embedded checks pass,ready
ACE-AGGREGATES,result consistency,python verify_release.py,ACE aggregate estimand table;metrics;integer-index matches,,aggregate consistency report,counts and stored metric columns agree,ready
ACE-ESTIMAND,endpoint-level recomputation,python activity_cliff_estimand/scripts/audit_estimand.py --split-manifest <external-split-manifest> --run-dir <external-ecfp-run> --output <external-output.csv>,ACE aggregate reference tables,ACE predictions and split manifest; run matches and metrics,activity_cliff_estimand_audit.csv,stored values reproduced to 1e-12,external public inputs required
MXC-GATES,result verification,python molecular_xai_construct/src/verify_archived_results.py,MXC result CSV and JSON files,,archived_result_verification.json,decision and gates match,ready
MXC-RECON,additional result verification,python verify_release.py,additional_analyses/mxc_sentinel_reconciliation outputs,full hashed raw-attribution inputs,40 sentinel cells and three independently recomputed gate inputs,summary counts and STOP status verified locally,ready
RSO-OVERLAP,analysis recomputation,python reaction_source_overlap/scripts/verify_overlap.py,contract and stored audit,three USPTO_MIT split files,overlap_verification.json,source hashes and counts match,external public inputs required
ACE-FULL,full experiment rerun,python activity_cliff_estimand/src/run_pilot.py,config and first-party source,MoleculeACE processed data and feature inputs,decision and result tables,compare to archived outputs,external public inputs required
MXC-FULL,full experiment rerun,python molecular_xai_construct/src/run_pilot.py,first-party source,Figshare v3 archives and extracted source data,construct result tables,compare to archived gates,external public inputs required
OPERATIONAL-SELFTEST,standalone operational verification,python operational_framework/audit_decision.py --self-test,schemas;fixtures;examples,,GO STOP REVISE and RSO decisions,all embedded self-tests pass,ready
CROSS-CASE,additional analysis,python additional_analyses/cross_case/run_cross_case_audit.py,derived case outputs,full hashed RSO ACE and MXC inputs in external working copy,cross-case CSV JSON and report,compare numeric outputs and archived input hashes,external public inputs required
